,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,310,Poloniex,DOGE/BTC,8010.72,311,Recently,2258440,0.04
Bitcoin Markets,311,Huobi,HSR/BTC,8016.77,312,Recently,2254590,0.04
Bitcoin Markets,312,Binance,ARN/BTC,7976.83,313,Recently,2250960,0.04
Bitcoin Markets,313,Upbit,RDD/BTC,7965.86,314,Recently,2243250,0.04
Bitcoin Markets,314,Huobi,ZEC/BTC,8118.41,315,Recently,2240680,0.04
Bitcoin Markets,315,Huobi,ICX/BTC,7790.11,316,Recently,2239380,0.04
Bitcoin Markets,316,Liqui,SRN/BTC,8050.02,317,Recently,2226180,0.04
Bitcoin Markets,317,Coinroom,BTC/USD,8221.2,318,Recently,2201470,0.04
Bitcoin Markets,318,BTC Markets,BTC/AUD,8015.8,319,Recently,2194170,0.04
Bitcoin Markets,319,Binance,KNC/BTC,7994.64,320,Recently,2192200,0.04
Bitcoin Markets,320,Huobi,WPR/BTC,8071.45,321,Recently,2182730,0.04
Bitcoin Markets,321,WEX,BTC/EUR,8107.3,322,Recently,2177580,0.04
Bitcoin Markets,322,Liqui,TRX/BTC,8039.9,323,Recently,2176170,0.04
Bitcoin Markets,323,Upbit,GNO/BTC,8066.26,324,Recently,2162090,0.04
Bitcoin Markets,324,Qryptos,UKG/BTC,8023.63,325,Recently,2148260,0.04
Bitcoin Markets,325,Binance,WTC/BTC,8029.76,326,Recently,2116200,0.04
Bitcoin Markets,326,TOPBTC,ETH/BTC,7756.73,327,Recently,2101820,0.04
Bitcoin Markets,327,Upbit,BTG/BTC,8054.65,328,Recently,2100750,0.04
Bitcoin Markets,328,Bibox,BOT/BTC,7938.16,329,Recently,2098510,0.04
Bitcoin Markets,329,Bittrex,XDN/BTC,8171.36,330,Recently,2096600,0.04
Bitcoin Markets,330,Upbit,UP/BTC,8032.65,331,Recently,2096390,0.04
Bitcoin Markets,331,Coinfloor,BTC/GBP,8099.69,332,Recently,2095250,0.04
Bitcoin Markets,332,Bittrex,GNO/BTC,8064.66,333,Recently,2087170,0.04
Bitcoin Markets,333,WEX,DSH/BTC,8033.59,334,Recently,2084770,0.04
Bitcoin Markets,334,Bittrex,BCC/BTC,8053.42,335,Recently,2083940,0.04
Bitcoin Markets,335,Huobi,CVC/BTC,8016.68,336,Recently,2076810,0.04
Bitcoin Markets,336,ChaoEX,SKY/BTC,8185.8,337,Recently,2074420,0.04
Bitcoin Markets,337,Binance,ZRX/BTC,8044.0,338,Recently,2064240,0.04
Bitcoin Markets,338,Huobi,QSP/BTC,8023.5,339,Recently,2057780,0.04
Bitcoin Markets,339,Bittrex,GNT/BTC,8027.14,340,Recently,2051800,0.04
Bitcoin Markets,340,Upbit,LTC/BTC,8039.88,341,Recently,2049840,0.04
Bitcoin Markets,341,Bittrex,DGB/BTC,8049.11,342,Recently,2022320,0.04
Bitcoin Markets,342,CoinEgg,BTM/BTC,9351.25,343,496 hours ago,2021650,0.0
Bitcoin Markets,343,CoinEgg,LTC/BTC,7631.86,344,496 hours ago,2013930,0.0
Bitcoin Markets,344,Kucoin,ETH/BTC,8031.33,345,Recently,2003460,0.04
Bitcoin Markets,345,Huobi,RCN/BTC,8030.67,346,Recently,1996450,0.04
Bitcoin Markets,346,YoBit,BCC/BTC,7984.62,347,Recently,1994990,0.04
Bitcoin Markets,347,Huobi,AST/BTC,8028.1,348,Recently,1962780,0.04
Bitcoin Markets,348,Bitinka,BTC/EUR,8106.11,349,Recently,1959680,0.04
Bitcoin Markets,349,Huobi,SMT/BTC,8034.36,350,Recently,1943100,0.04
Bitcoin Markets,350,COSS,COSS/BTC,8449.16,351,Recently,1926370,0.04
Bitcoin Markets,351,Bibox,BIX/BTC,8068.57,352,Recently,1924820,0.04
Bitcoin Markets,352,Kraken,XRP/BTC,8038.78,353,Recently,1918830,0.03
Bitcoin Markets,353,Bit-Z,DOGE/BTC,8010.72,354,Recently,1916630,0.03
Bitcoin Markets,354,OKEx,IOST/BTC,8098.45,355,Recently,1915710,0.03
Bitcoin Markets,355,Huobi,XEM/BTC,8062.01,356,Recently,1915610,0.03
Bitcoin Markets,356,TOPBTC,ATB/BTC,8036.64,357,Recently,1914290,0.03
Bitcoin Markets,357,Livecoin,LTC/BTC,8066.91,358,Recently,1912740,0.03
Bitcoin Markets,358,Upbit,LSK/BTC,8056.38,359,Recently,1908460,0.03
Bitcoin Markets,359,Octaex,ETH/BTC,8083.26,360,3 hours ago,1897700,0.0
Bitcoin Markets,360,BX Thailand,BTC/THB,7848.2,361,Recently,1894920,0.03
Bitcoin Markets,361,Liqui,GUP/BTC,8061.0,362,Recently,1887520,0.03
Bitcoin Markets,362,Bittrex,NBT/BTC,8094.47,363,Recently,1882420,0.03
Bitcoin Markets,363,Huobi,LET/BTC,8038.89,364,Recently,1875040,0.03
Bitcoin Markets,364,Independent Reserve,XBT/AUD,8092.84,365,Recently,1871940,0.03
Bitcoin Markets,365,Huobi,LTC/BTC,8047.05,366,Recently,1861540,0.03
Bitcoin Markets,366,Huobi,WAX/BTC,8027.47,367,Recently,1855760,0.03
Bitcoin Markets,367,Binance,CHAT/BTC,7998.5,368,Recently,1850440,0.03
Bitcoin Markets,368,BTCTurk,BTC/TRY,7926.12,369,Recently,1845520,0.03
Bitcoin Markets,369,Huobi,PAY/BTC,8032.6,370,Recently,1827310,0.03
Bitcoin Markets,370,Huobi,GNX/BTC,8055.78,371,Recently,1823930,0.03
Bitcoin Markets,371,RightBTC,ETH/BTC,8042.79,372,Recently,1809640,0.03
Bitcoin Markets,372,Upbit,XRP/BTC,8045.65,373,Recently,1803460,0.03
Bitcoin Markets,373,RightBTC,BCC/BTC,8113.87,374,Recently,1789380,0.03
Bitcoin Markets,374,Binance,ZEC/BTC,8121.63,375,Recently,1778590,0.03
Bitcoin Markets,375,Upbit,BNT/BTC,7982.36,376,Recently,1773220,0.03
Bitcoin Markets,376,Binance,TNT/BTC,8057.63,377,Recently,1759570,0.03
Bitcoin Markets,377,Huobi,ZRX/BTC,8034.42,378,Recently,1754940,0.03
Bitcoin Markets,378,Livecoin,XMR/BTC,8027.25,379,Recently,1745030,0.03
Bitcoin Markets,379,Huobi,MANA/BTC,7896.0,380,Recently,1733030,0.03
Bitcoin Markets,380,Huobi,GAS/BTC,8027.98,381,Recently,1732700,0.03
Bitcoin Markets,381,Huobi,BLZ/BTC,8013.27,382,Recently,1703100,0.03
Bitcoin Markets,382,HitBTC,EOS/BTC,8074.95,383,Recently,1691050,0.03
Bitcoin Markets,383,Huobi,QUN/BTC,8079.66,384,Recently,1687260,0.03
Bitcoin Markets,384,Huobi,SOC/BTC,8040.19,385,Recently,1672690,0.03
Bitcoin Markets,385,Upbit,GNT/BTC,8027.14,386,Recently,1672330,0.03
Bitcoin Markets,386,OEX,XAS/BTC,8566.23,387,571 hours ago,1667790,0.0
Bitcoin Markets,387,TOPBTC,LTC/BTC,9624.48,388,Recently,1664950,0.03
Bitcoin Markets,388,Upbit,BCC/BTC,8062.12,389,Recently,1656800,0.03
Bitcoin Markets,389,Bittrex,QTUM/BTC,8062.59,390,Recently,1630860,0.03
Bitcoin Markets,390,Bit-Z,DASH/BTC,8056.8,391,Recently,1629060,0.03
Bitcoin Markets,391,Binance,RPX/BTC,8029.49,392,Recently,1628760,0.03
Bitcoin Markets,392,BitMEX,BTC/USD,8018.0,393,Recently,2771310000,0.0
Bitcoin Markets,393,Quoine,BTC/JPY,8011.66,394,Recently,121270000,0.0
Bitcoin Markets,394,Fisco,BTC/JPY,8028.53,395,Recently,116898000,0.0
Bitcoin Markets,395,Zaif,BTC/JPY,8038.52,396,Recently,116551000,0.0
Bitcoin Markets,396,Quoine,BTC/USD,8065.0,397,Recently,13950500,0.0
Bitcoin Markets,397,ZB.COM,BTC/USDT,8039.44,398,Recently,13744500,0.0
Bitcoin Markets,398,Negocie Coins,B2X/BTC,0.376685,399,Recently,12752400,0.0
Bitcoin Markets,399,Lbank,ABT/BTC,9090.71,400,Recently,3405230,0.0
