,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,70,Bitfinex,BTC/EUR,8032.95,71,Recently,14137600,0.26
Bitcoin Markets,71,BCEX,ETH/BTC,7959.6,72,Recently,14124200,0.26
Bitcoin Markets,72,Binance,BCC/BTC,8049.34,73,Recently,14092400,0.26
Bitcoin Markets,73,HitBTC,DASH/BTC,8055.9,74,Recently,13970300,0.25
Bitcoin Markets,74,CoinsBank,BTC/USD,8005.83,75,Recently,13403300,0.24
Bitcoin Markets,75,Coinhub,ETH/BTC,8037.55,76,Recently,12860000,0.23
Bitcoin Markets,76,Lbank,ETH/BTC,8015.92,77,Recently,12809600,0.23
Bitcoin Markets,77,Upbit,OMG/BTC,8044.62,78,Recently,12654800,0.23
Bitcoin Markets,78,Bittrex,OMG/BTC,8044.58,79,Recently,12468900,0.23
Bitcoin Markets,79,OKEx,TRUE/BTC,8081.72,80,Recently,11868200,0.22
Bitcoin Markets,80,Huobi,WICC/BTC,8131.48,81,Recently,11849300,0.22
Bitcoin Markets,81,CoinsBank,BTC/EUR,7919.24,82,Recently,11805900,0.21
Bitcoin Markets,82,Binance,IOST/BTC,8062.05,83,Recently,11761100,0.21
Bitcoin Markets,83,Huobi,OCN/BTC,8051.24,84,Recently,11662200,0.21
Bitcoin Markets,84,Upbit,SC/BTC,8043.92,85,Recently,11603400,0.21
Bitcoin Markets,85,CoinEgg,NEO/BTC,8366.01,86,496 hours ago,11421200,0.0
Bitcoin Markets,86,Binance,CTR/BTC,1797.11,87,213 hours ago,11295900,0.0
Bitcoin Markets,87,Binance,AION/BTC,8018.04,88,Recently,11208200,0.2
Bitcoin Markets,88,CoinEgg,TRX/BTC,8668.37,89,496 hours ago,11147400,0.0
Bitcoin Markets,89,Lbank,BTC/USDT,8041.98,90,Recently,11045100,0.2
Bitcoin Markets,90,Binance,NEBL/BTC,8029.4,91,Recently,11005800,0.2
Bitcoin Markets,91,Binance,STORM/BTC,8006.36,92,Recently,10991600,0.2
Bitcoin Markets,92,Binance,ZIL/BTC,8055.73,93,Recently,10906600,0.2
Bitcoin Markets,93,Huobi,EOS/BTC,8011.2,94,Recently,10712200,0.19
Bitcoin Markets,94,Livecoin,BTC/USD,8187.78,95,Recently,10499900,0.19
Bitcoin Markets,95,Binance,MTL/BTC,8029.44,96,Recently,10365700,0.19
Bitcoin Markets,96,Huobi,ETH/BTC,8040.41,97,Recently,10235900,0.19
Bitcoin Markets,97,Bitfinex,BTC/GBP,8033.78,98,Recently,10202200,0.19
Bitcoin Markets,98,Huobi,ABT/BTC,8007.64,99,Recently,10102100,0.18
Bitcoin Markets,99,Upbit,BTC/USDT,8044.69,100,Recently,10026200,0.18
Bitcoin Markets,100,Binance,BTG/BTC,8076.09,101,Recently,10017400,0.18
Bitcoin Markets,101,ZB.COM,EOS/BTC,8097.3,102,Recently,9876290,0.18
Bitcoin Markets,102,OKEx,IPC/BTC,8048.56,103,Recently,9762300,0.18
Bitcoin Markets,103,Huobi,BTM/BTC,8028.27,104,Recently,9734970,0.18
Bitcoin Markets,104,Binance,DGD/BTC,8019.98,105,Recently,9690230,0.18
Bitcoin Markets,105,Binance,GVT/BTC,8085.12,106,Recently,9678270,0.18
Bitcoin Markets,106,Coinone,BTC/KRW,7999.81,107,Recently,9626290,0.18
Bitcoin Markets,107,Binance,WPR/BTC,8042.62,108,Recently,9476050,0.17
Bitcoin Markets,108,HitBTC,XRP/BTC,8026.05,109,Recently,9414500,0.17
Bitcoin Markets,109,Binance,ELF/BTC,7907.44,110,Recently,9305620,0.17
Bitcoin Markets,110,Tidex,WAVES/BTC,8036.83,111,Recently,9265570,0.17
Bitcoin Markets,111,OOOBTC,DCR/BTC,8026.73,112,Recently,9247970,0.17
Bitcoin Markets,112,Exmo,BTC/USD,8100.4,113,Recently,9197990,0.17
Bitcoin Markets,113,Korbit,BTC/KRW,8006.82,114,Recently,9139670,0.17
Bitcoin Markets,114,Huobi,CMT/BTC,8042.47,115,Recently,9122660,0.17
Bitcoin Markets,115,Huobi,ELA/BTC,8034.73,116,Recently,9009830,0.16
Bitcoin Markets,116,Binance,QTUM/BTC,8038.29,117,Recently,8929810,0.16
Bitcoin Markets,117,Bittrex,SC/BTC,8081.69,118,Recently,8808740,0.16
Bitcoin Markets,118,Binance,NCASH/BTC,8057.17,119,Recently,8800430,0.16
Bitcoin Markets,119,OKEx,MITH/BTC,7733.72,120,Recently,8599440,0.16
Bitcoin Markets,120,Binance,SUB/BTC,7942.78,121,Recently,8568490,0.16
Bitcoin Markets,121,EXX,LTC/BTC,8106.55,122,Recently,8504240,0.15
Bitcoin Markets,122,Bitfinex,EOS/BTC,8063.82,123,Recently,8373050,0.15
Bitcoin Markets,123,Binance,XEM/BTC,8048.66,124,Recently,8302390,0.15
Bitcoin Markets,124,OKEx,XRP/BTC,8052.53,125,Recently,8280120,0.15
Bitcoin Markets,125,Binance,NANO/BTC,7999.5,126,Recently,8174450,0.15
Bitcoin Markets,126,CoinsBank,BTC/GBP,8026.32,127,Recently,8160940,0.15
Bitcoin Markets,127,YoBit,ETH/BTC,8025.89,128,Recently,7930990,0.14
Bitcoin Markets,128,Bit-Z,GXS/BTC,8045.45,129,Recently,7640860,0.14
Bitcoin Markets,129,Iquant,IQT/BTC,8029.45,130,Recently,7449310,0.14
Bitcoin Markets,130,Livecoin,ETH/BTC,8025.89,131,Recently,7422870,0.14
Bitcoin Markets,131,Binance,LSK/BTC,8009.76,132,Recently,7358700,0.13
Bitcoin Markets,132,Trade By Trade,BTC/USDT,7981.86,133,Recently,7341010,0.13
Bitcoin Markets,133,B2BX,BTC/USDT,8028.88,134,Recently,7216760,0.13
Bitcoin Markets,134,Binance,LINK/BTC,8015.37,135,Recently,7000100,0.13
Bitcoin Markets,135,Binance,VEN/BTC,8011.32,136,Recently,6903180,0.13
Bitcoin Markets,136,Bit-Z,QTUM/BTC,8038.29,137,Recently,6886160,0.13
Bitcoin Markets,137,Binance,WAVES/BTC,8041.23,138,Recently,6842730,0.12
Bitcoin Markets,138,HitBTC,ETH/BTC,8035.01,139,Recently,6825080,0.12
Bitcoin Markets,139,CoinExchange,BSR/BTC,8028.94,140,Recently,6728720,0.12
Bitcoin Markets,140,Binance,ETC/BTC,8043.89,141,Recently,6723180,0.12
Bitcoin Markets,141,Exmo,BTC/RUB,7627.27,142,Recently,6699740,0.12
Bitcoin Markets,142,LakeBTC,BTC/USD,8715.16,143,Recently,6679980,0.12
Bitcoin Markets,143,WEX,BTC/USD,8030.0,144,Recently,6622050,0.12
Bitcoin Markets,144,Bitfinex,ETH/BTC,8035.14,145,Recently,6587170,0.12
